,varname,long_name,code,table,units,model,outdatatype,dims,stream
sistrxubotsic,,Product of x-component of ocean stress on sea ice and sea ice concentration,1036,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
sistryubotsic,,Product of y-component of ocean stress on sea ice and sea ice concentration,1037,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
sifbsic,,Product of sea ice freeboard and sea ice concentration,1038,,m,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
sidconcdyn,,Sea-ice area fraction change from dynamics,1039,,s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sidconcth,,Sea-ice area fraction change from  thermodynamics,1040,,s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sidmassdyn,,Sea-ice mass change from dynamics,1041,,kg s-1 m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sidmassth,,Sea-ice mass change from  thermodynamics,1042,,kg s-1 m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sndmassdyn,,Snow mass change through advection by sea-ice dynamics,1043,,kg s-1 m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sndmassth,,Snow mass change by thermodynamics,1044,,kg s-1 m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sndmasssnf,,Snow mass change through snowfall,1045,,kg s-1 m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
siflcondsic,,Product of conductive heatflux and sea ice concentration,1046,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
siflsaltbotsic,,Product of saltflux from seaice and sea ice concentration,1047,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
siflfwbotsic,,Product of freshwater flux from seaice and sea ice concentration,1048,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sosga,,Sea surface salinity,508,,1e-3,mpiom,timeser_mm,"['time', 'depth', 'lat', 'lon']",mpiom_timeser_mm
tosga,,Sea surface temperature,509,,C,mpiom,timeser_mm,"['time', 'depth', 'lat', 'lon']",mpiom_timeser_mm
volo,,Sea water volume,513,,m3,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
masso,,Sea water mass,514,,kg,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
global_salt_content,,Global salt content,517,,kg,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_davis_strait,,Ocean water transport across line davis strait,592,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_denmark_strait,,Snow-mass-flux through straits denmark strait,644,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_denmark_strait,,Sea-ice-area flux through straits denmark strait,645,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_indonesian_throughflow,,Snow-mass-flux through straits indonesian throughflow,724,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_indonesian_throughflow,,Sea-ice-area flux through straits indonesian throughflow,725,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_faroe_scotland_channel,,Snow-mass-flux through straits faroe scotland channel,684,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_faroe_scotland_channel,,Sea-ice-area flux through straits faroe scotland channel,685,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
ekmantransport_atlantic_26n,,Ocean ekman transport across line atlantic 26n,809,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
simassacrossline_barents_opening,,Sea-ice-mass flux through straits barents opening,613,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_barents_opening,,Snow-mass-flux through straits barents opening,614,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_barents_opening,,Sea-ice-area flux through straits barents opening,615,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
simassacrossline_bering_strait,,Sea-ice-mass flux through straits bering strait,623,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_bering_strait,,Snow-mass-flux through straits bering strait,624,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_bering_strait,,Sea-ice-area flux through straits bering strait,625,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
simassacrossline_canadian_archipelago,,Sea-ice-mass flux through straits canadian archipelago,633,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_canadian_archipelago,,Snow-mass-flux through straits canadian archipelago,634,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_canadian_archipelago,,Sea-ice-area flux through straits canadian archipelago,635,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_fram_strait,,Snow-mass-flux through straits fram strait,704,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_fram_strait,,Sea-ice-area flux through straits fram strait,705,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_barents_opening,,Ocean water transport across line barents opening,612,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_canadian_archipelago,,Ocean water transport across line canadian archipelago,632,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_denmark_strait,,Ocean water transport across line denmark strait,642,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_english_channel,,Ocean water transport across line english channel,662,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_faroe_scotland_channel,,Ocean water transport across line faroe scotland channel,682,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_florida_bahamas,,Ocean water transport across line florida bahamas,692,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_fram_strait,,Ocean water transport across line fram strait,702,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_iceland_faroe_channel,,Ocean water transport across line iceland faroe channel,712,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_indonesian_throughflow,,Ocean water transport across line indonesian throughflow,722,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_mozambiqe_channel,,Ocean water transport across line mozambiqe channel,732,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_taiwan_and_luzon_straits,,Ocean water transport across line taiwan and luzon straits,742,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_windward_passage,,Ocean water transport across line windward passage,752,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_strait_of_gibraltar,,Ocean water transport across line strait of gibraltar,762,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netheattransport_atlantic_60n,,Ocean heat transport across line atlantic 60n,770,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netsalttransport_atlantic_60n,,Ocean salt transport across line atlantic 60n,771,,psu m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_atlantic_60n,,Ocean water transport across line atlantic 60n,772,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_atlantic_60n,,Snow-mass-flux through straits atlantic 60n,774,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_atlantic_60n,,Sea-ice-area flux through straits atlantic 60n,775,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netheattransport_atlantic_40n,,Ocean heat transport across line atlantic 40n,780,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netsalttransport_atlantic_40n,,Ocean salt transport across line atlantic 40n,781,,psu m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_atlantic_40n,,Ocean water transport across line atlantic 40n,782,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_atlantic_40n,,Snow-mass-flux through straits atlantic 40n,784,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_atlantic_40n,,Sea-ice-area flux through straits atlantic 40n,785,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netheattransport_atlantic_30n,,Ocean heat transport across line atlantic 30n,790,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netsalttransport_atlantic_30n,,Ocean salt transport across line atlantic 30n,791,,psu m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_atlantic_30n,,Ocean water transport across line atlantic 30n,792,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_atlantic_30n,,Snow-mass-flux through straits atlantic 30n,794,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_atlantic_30n,,Sea-ice-area flux through straits atlantic 30n,795,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netsalttransport_atlantic_26n,,Ocean salt transport across line atlantic 26n,801,,psu m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_atlantic_26n,,Ocean water transport across line atlantic 26n,802,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_atlantic_26n,,Snow-mass-flux through straits atlantic 26n,804,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_atlantic_26n,,Sea-ice-area flux through straits atlantic 26n,805,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netheattransport_atlantic_30s,,Ocean heat transport across line atlantic 30s,810,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netsalttransport_atlantic_30s,,Ocean salt transport across line atlantic 30s,811,,psu m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
netwatertransport_atlantic_30s,,Ocean water transport across line atlantic 30s,812,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
snmassacrossline_atlantic_30s,,Snow-mass-flux through straits atlantic 30s,814,,kg s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
siareaacrossline_atlantic_30s,,Sea-ice-area flux through straits atlantic 30s,815,,m2 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eisab_greenland_iceland_norwegian_sea,,Sea ice extent in region greenland iceland norwegian sea,820,,m2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eiscb_greenland_iceland_norwegian_sea,,Sea ice volume in region greenland iceland norwegian sea,821,,m3,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
hflb_greenland_iceland_norwegian_sea,,Heat uptake in region greenland iceland norwegian sea,822,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
wflb_greenland_iceland_norwegian_sea,,Freshwater uptake in region greenland iceland norwegian sea,823,,m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_0m_greenland_iceland_norwegian_sea,,Sst in region greenland iceland norwegian sea,824,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_0m_greenland_iceland_norwegian_sea,,Sss in region greenland iceland norwegian sea,825,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_0m_greenland_iceland_norwegian_sea,,Kinetic energy in region greenland iceland norwegian sea,826,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_200m_greenland_iceland_norwegian_sea,,Temperature 200m in region greenland iceland norwegian sea,827,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_200m_greenland_iceland_norwegian_sea,,Salinity 200m in region greenland iceland norwegian sea,828,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_200m_greenland_iceland_norwegian_sea,,Kinetic energy in region greenland iceland norwegian sea,829,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_800m_greenland_iceland_norwegian_sea,,Temperature 800m in region greenland iceland norwegian sea,830,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_800m_greenland_iceland_norwegian_sea,,Salinity 800m in region greenland iceland norwegian sea,831,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_800m_greenland_iceland_norwegian_sea,,Kinetic energy in region greenland iceland norwegian sea,832,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_2000m_greenland_iceland_norwegian_sea,,Temperature 2000m in region greenland iceland norwegian sea,833,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_2000m_greenland_iceland_norwegian_sea,,Salinity 2000m in region greenland iceland norwegian sea,834,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_2000m_greenland_iceland_norwegian_sea,,Kinetic energy in region greenland iceland norwegian sea,835,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
hflb_arctic_ocean,,Heat uptake in region arctic ocean,838,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
wflb_arctic_ocean,,Freshwater uptake in region arctic ocean,839,,m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_0m_arctic_ocean,,Sst in region arctic ocean,840,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_0m_arctic_ocean,,Sss in region arctic ocean,841,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_0m_arctic_ocean,,Kinetic energy in region arctic ocean,842,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_200m_arctic_ocean,,Temperature 200m in region arctic ocean,843,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_200m_arctic_ocean,,Salinity 200m in region arctic ocean,844,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_200m_arctic_ocean,,Kinetic energy in region arctic ocean,845,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_800m_arctic_ocean,,Temperature 800m in region arctic ocean,846,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_800m_arctic_ocean,,Salinity 800m in region arctic ocean,847,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_800m_arctic_ocean,,Kinetic energy in region arctic ocean,848,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_2000m_arctic_ocean,,Temperature 2000m in region arctic ocean,849,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_2000m_arctic_ocean,,Salinity 2000m in region arctic ocean,850,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_2000m_arctic_ocean,,Kinetic energy in region arctic ocean,851,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eisab_labrador_sea,,Sea ice extent in region labrador sea,852,,m2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eiscb_labrador_sea,,Sea ice volume in region labrador sea,853,,m3,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
hflb_labrador_sea,,Heat uptake in region labrador sea,854,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
wflb_labrador_sea,,Freshwater uptake in region labrador sea,855,,m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_0m_labrador_sea,,Sst in region labrador sea,856,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_0m_labrador_sea,,Sss in region labrador sea,857,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_0m_labrador_sea,,Kinetic energy in region labrador sea,858,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_200m_labrador_sea,,Temperature 200m in region labrador sea,859,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_200m_labrador_sea,,Salinity 200m in region labrador sea,860,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_200m_labrador_sea,,Kinetic energy in region labrador sea,861,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_800m_labrador_sea,,Temperature 800m in region labrador sea,862,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_800m_labrador_sea,,Salinity 800m in region labrador sea,863,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_800m_labrador_sea,,Kinetic energy in region labrador sea,864,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_2000m_labrador_sea,,Temperature 2000m in region labrador sea,865,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_2000m_labrador_sea,,Salinity 2000m in region labrador sea,866,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_2000m_labrador_sea,,Kinetic energy in region labrador sea,867,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eisab_north_atlantic_ocean,,Sea ice extent in region north atlantic ocean,868,,m2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eiscb_north_atlantic_ocean,,Sea ice volume in region north atlantic ocean,869,,m3,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
hflb_north_atlantic_ocean,,Heat uptake in region north atlantic ocean,870,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
wflb_north_atlantic_ocean,,Freshwater uptake in region north atlantic ocean,871,,m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_0m_north_atlantic_ocean,,Sst in region north atlantic ocean,872,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_0m_north_atlantic_ocean,,Sss in region north atlantic ocean,873,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_0m_north_atlantic_ocean,,Kinetic energy in region north atlantic ocean,874,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_200m_north_atlantic_ocean,,Temperature 200m in region north atlantic ocean,875,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_200m_north_atlantic_ocean,,Salinity 200m in region north atlantic ocean,876,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_200m_north_atlantic_ocean,,Kinetic energy in region north atlantic ocean,877,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_800m_north_atlantic_ocean,,Temperature 800m in region north atlantic ocean,878,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_800m_north_atlantic_ocean,,Salinity 800m in region north atlantic ocean,879,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_800m_north_atlantic_ocean,,Kinetic energy in region north atlantic ocean,880,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_2000m_north_atlantic_ocean,,Temperature 2000m in region north atlantic ocean,881,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_2000m_north_atlantic_ocean,,Salinity 2000m in region north atlantic ocean,882,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_2000m_north_atlantic_ocean,,Kinetic energy in region north atlantic ocean,883,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eisab_atlantic_ocean,,Sea ice extent in region atlantic ocean,884,,m2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
eiscb_atlantic_ocean,,Sea ice volume in region atlantic ocean,885,,m3,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
hflb_atlantic_ocean,,Heat uptake in region atlantic ocean,886,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
wflb_atlantic_ocean,,Freshwater uptake in region atlantic ocean,887,,m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_0m_atlantic_ocean,,Sst in region atlantic ocean,888,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_0m_atlantic_ocean,,Sss in region atlantic ocean,889,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_0m_atlantic_ocean,,Kinetic energy in region atlantic ocean,890,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_200m_atlantic_ocean,,Temperature 200m in region atlantic ocean,891,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_200m_atlantic_ocean,,Salinity 200m in region atlantic ocean,892,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_200m_atlantic_ocean,,Kinetic energy in region atlantic ocean,893,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_800m_atlantic_ocean,,Temperature 800m in region atlantic ocean,894,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_800m_atlantic_ocean,,Salinity 800m in region atlantic ocean,895,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_800m_atlantic_ocean,,Kinetic energy in region atlantic ocean,896,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_2000m_atlantic_ocean,,Temperature 2000m in region atlantic ocean,897,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_2000m_atlantic_ocean,,Salinity 2000m in region atlantic ocean,898,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_2000m_atlantic_ocean,,Kinetic energy in region atlantic ocean,899,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
hflb_southern_ocean,,Heat uptake in region southern ocean,902,,W,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
wflb_southern_ocean,,Freshwater uptake in region southern ocean,903,,m3 s-1,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_0m_southern_ocean,,Sst in region southern ocean,904,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_0m_southern_ocean,,Sss in region southern ocean,905,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_0m_southern_ocean,,Kinetic energy in region southern ocean,906,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
tem_200m_southern_ocean,,Temperature 200m in region southern ocean,907,,C,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
salt_200m_southern_ocean,,Salinity 200m in region southern ocean,908,,psu,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
u2pv2_200m_southern_ocean,,Kinetic energy in region southern ocean,909,,m2 s-2,mpiom,timeser_mm,"['time', 'depth_2', 'lat', 'lon']",mpiom_timeser_mm
